Replicate,Mating_status,Amount_ul
1,Mated,0.3562
2,Mated,0.1644
3,Mated,0.0959
4,Mated,0.2329
5,Mated,0.0274
6,Mated,0.0959
7,Mated,0.3014
8,Mated,0.0274
9,Mated,0.2329
10,Mated,0.0959
11,Mated,0.2192
12,Mated,0.1644
13,Mated,0.0685
14,Mated,0.0685
15,Mated,0.2466
16,Mated,0.1507
17,Mated,0.0137
18,Mated,0.0137
19,Mated,0.4932
20,Mated,0.0959
1,Virgin,0.0959
2,Virgin,0.0274
3,Virgin,0.0822
4,Virgin,0.0274
5,Virgin,0.0274
6,Virgin,0.0274
7,Virgin,0.0959
8,Virgin,0.0274
9,Virgin,0.0959
10,Virgin,0
11,Virgin,0.0822
12,Virgin,0.0137
13,Virgin,0.0274
14,Virgin,0.0137
15,Virgin,0.0274
16,Virgin,0.0274
17,Virgin,0.137
18,Virgin,0.0685
19,Virgin,0.0137
