plant,ss_mg,ss_per,starch_mg,starch_per,TNC_mg_g,TNC_per,CO2,silicon,canegrub,ssTOstarch,starchTOss
1,90.59833054,9.059833054,271.421703,27.1421703,362.0200336,36.20200336,400,y,y,0.33379177,2.995879741
2,368.2604362,36.82604362,276.7126879,27.67126879,644.9731241,64.49731241,400,y,y,1.330840443,0.751404877
12,315.9451445,31.59451445,258.4391594,25.84391594,574.3843039,57.43843039,400,n,n,1.222512661,0.817987438
13,336.7619213,33.67619213,229.7268159,22.97268159,566.4887372,56.64887372,400,n,n,1.465923427,0.682163871
15,264.0488998,26.40488998,194.0905417,19.40905417,458.1394415,45.81394415,400,n,n,1.360441872,0.735055294
17,267.7732903,26.77732903,207.1120085,20.71120085,474.8852988,47.48852988,400,y,y,1.292891186,0.773460296
18,335.9232753,33.59232753,214.125461,21.4125461,550.0487364,55.00487364,400,y,y,1.568815188,0.637423712
25,121.9138613,12.19138613,238.5498933,23.85498933,360.4637546,36.04637546,400,y,y,0.511062317,1.956708538
26,215.3550584,21.53550584,229.5824522,22.95824522,444.9375107,44.49375107,400,y,y,0.938029263,1.066064823
28,140.5804875,14.05804875,238.5942388,23.85942388,379.1747263,37.91747263,400,y,y,0.589203194,1.697207365
30,445.3503698,44.53503698,183.3302075,18.33302075,628.6805773,62.86805773,400,y,y,2.429225253,0.41165388
33,139.6420724,13.96420724,233.9591197,23.39591197,373.6011921,37.36011921,400,n,y,0.596865267,1.675419991
34,170.0337951,17.00337951,231.0627385,23.10627385,401.0965336,40.10965336,400,n,y,0.735877174,1.358922433
37,191.4284614,19.14284614,245.6810769,24.56810769,437.1095383,43.71095383,400,n,y,0.779174627,1.283409349
38,177.1222867,17.71222867,196.1560247,19.61560247,373.2783113,37.32783113,400,n,y,0.902966335,1.107461
46,77.75477722,7.775477722,260.7713687,26.07713687,338.5261459,33.85261459,400,n,y,0.298172217,3.353766521
51,134.2288085,13.42288085,272.7969507,27.27969507,407.0257592,40.70257592,640,y,y,0.492046587,2.032327887
55,185.7146934,18.57146934,223.0880565,22.30880565,408.8027498,40.88027498,640,y,y,0.832472596,1.201240744
56,134.8591255,13.48591255,190.7465152,19.07465152,325.6056407,32.56056407,640,y,y,0.707007021,1.414413111
58,352.2439968,35.22439968,217.1083497,21.71083497,569.3523465,56.93523465,640,n,y,1.622434132,0.616357842
67,126.4010234,12.64010234,245.3406065,24.53406065,371.7416298,37.17416298,640,y,y,0.515206289,1.940970096
70,169.8171163,16.98171163,180.1789408,18.01789408,349.9960571,34.99960571,640,y,y,0.942491478,1.061017551
71,418.9682164,41.89682164,195.2739338,19.52739338,614.2421502,61.42421502,640,y,y,2.145540924,0.46608293
73,265.0308455,26.50308455,236.1900367,23.61900367,501.2208822,50.12208822,640,y,y,1.12210849,0.891179426
77,98.94017273,9.894017273,189.1650962,18.91650962,288.1052689,28.81052689,640,y,y,0.523036092,1.911913947
83,83.47993742,8.347993742,135.3711572,13.53711572,218.8510947,21.88510947,640,n,y,0.616674476,1.621601087
86,301.3720916,30.13720916,199.6085987,19.96085987,500.9806903,50.09806903,640,n,y,1.509815176,0.662332725
89,189.4585702,18.94585702,142.3111383,14.23111383,331.7697085,33.17697085,640,n,y,1.331298255,0.751146481
91,362.984543,36.2984543,259.4708909,25.94708909,622.4554339,62.24554339,640,n,y,1.39894129,0.714826281
92,181.5009269,18.15009269,291.5998082,29.15998082,473.1007351,47.31007351,640,n,y,0.622431572,1.606602309
93,210.3143968,21.03143968,206.7877883,20.67877883,417.1021851,41.71021851,640,n,n,1.017054239,0.983231731
94,118.9554688,11.89554688,151.4538349,15.14538349,270.4093037,27.04093037,640,n,y,0.785423947,1.273197748
102,276.2731426,27.62731426,291.0725302,29.10725302,567.3456728,56.73456728,640,y,n,0.949155671,1.053567956
105,217.4864485,21.74864485,239.3965378,23.93965378,456.8829863,45.68829863,640,n,n,0.908477836,1.10074232
109,273.8980855,27.38980855,208.0367183,20.80367183,481.9348038,48.19348038,640,n,n,1.316585301,0.759540608
111,205.3435555,20.53435555,178.3324886,17.83324886,383.6760442,38.36760442,640,n,n,1.151464644,0.868459145
113,251.9273981,25.19273981,212.0901391,21.20901391,464.0175372,46.40175372,640,y,n,1.187831736,0.841870081
115,206.4471584,20.64471584,219.7023065,21.97023065,426.1494648,42.61494648,640,y,n,0.939667688,1.064206009
122,372.8681159,37.28681159,243.7899931,24.37899931,616.658109,61.6658109,640,y,n,1.529464401,0.653823652
124,264.3452904,26.43452904,164.0511961,16.40511961,428.3964864,42.83964864,640,y,n,1.611358507,0.620594359
130,157.7317745,15.77317745,179.3858758,17.93858758,337.1176503,33.71176503,640,n,n,0.87928759,1.137284332
131,182.0439905,18.20439905,173.4880905,17.34880905,355.5320809,35.55320809,640,n,n,1.04931693,0.95300092
147,420.1834215,42.01834215,174.9246407,17.49246407,595.1080623,59.51080623,400,y,n,2.402082518,0.416305432
151,317.4698006,31.74698006,265.8525341,26.58525341,583.3223347,58.33223347,400,y,n,1.194157512,0.837410467
154,234.8948559,23.48948559,296.5043507,29.65043507,531.3992066,53.13992066,400,n,n,0.792213859,1.262285415
156,395.3807732,39.53807732,163.2759288,16.32759288,558.656702,55.8656702,400,n,n,2.42154968,0.412958697
164,302.6069813,30.26069813,262.2243887,26.22243887,564.83137,56.483137,400,y,n,1.15400014,0.866551021
171,420.0070229,42.00070229,179.2543219,17.92543219,599.2613449,59.92613449,400,y,n,2.34307892,0.426788868
178,406.6080284,40.66080284,247.5588565,24.75588565,654.1668848,65.41668848,400,n,n,1.642470135,0.608839076
179,186.5815743,18.65815743,183.9850069,18.39850069,370.5665812,37.05665812,400,n,n,1.014112929,0.986083474
183,329.2368402,32.92368402,242.2656359,24.22656359,571.5024761,57.15024761,400,n,n,1.358991088,0.735839998
189,389.460543,38.9460543,254.2125811,25.42125811,643.6731242,64.36731242,400,n,n,1.53202702,0.652730002
191,179.2420036,17.92420036,218.9545884,21.89545884,398.196592,39.8196592,400,n,n,0.818626387,1.221558474
