plant,leafmass,canemass,rootmass,biomass,aboveground
1,32.54,49.42,8.13,90.09,81.96
2,14.51,14.79,2.13,31.43,29.3
13,1.87,0.53,0.93,3.33,2.4
15,15.83,20.72,1.94,38.49,36.55
28,26.36,41.02,8.21,75.59,67.38
25,19.64,29.37,1.88,50.89,49.01
51,32.92,47.32,7.82,88.06,80.24
55,41.11,40.45,1.14,82.7,81.56
58,23.06,27.45,3.35,53.86,50.51
73,21.28,35.76,3.65,60.69,57.04
91,1.53,0.48,0.26,2.27,2.01
30,25.87,40.21,18.05,84.13,66.08
147,20.2,30.09,9.47,59.76,50.29
189,15.57,20.7,6.85,43.12,36.27
93,25.58,27.74,9.69,63.01,53.32
113,50.79,42.26,9.51,102.56,93.05
124,30.21,36.77,12.97,79.95,66.98
111,23.7,24.66,11.58,59.94,48.36
42,12.59,13.95,2.01,28.55,26.54
34,20.59,14.6,1.84,37.03,35.19
12,15.82,21.97,3.74,41.53,37.79
17,16.11,34.72,2.07,52.9,50.83
26,4.73,5.87,1.19,11.79,10.6
33,18.4,21.47,3.7,43.57,39.87
37,16.32,25.34,1.84,43.5,41.66
77,42.48,34.01,9.72,86.21,76.49
56,33.1,46.19,12.67,91.96,79.29
67,27.79,44.84,9.52,82.15,72.63
83,20.46,26.77,5.74,52.97,47.23
86,18.62,32.28,5.08,55.98,50.9
151,35.3,29.26,9.33,73.89,64.56
154,16.43,14.84,5.99,37.26,31.27
171,22.68,26.8,12.38,61.86,49.48
183,2.85,2.21,1.51,6.57,5.06
102,35.92,45.12,14.39,95.43,81.04
105,22.75,30.2,30.88,83.83,52.95
122,37.62,51.55,15.67,104.84,89.17
191,8.51,6.29,2.95,17.75,14.8
18,23.32,41.15,1.62,66.09,64.47
38,15.83,26.23,2.68,44.74,42.06
46,15.54,16.79,2.98,35.31,32.33
156,23.45,25.93,8.65,58.03,49.38
164,28.24,43.75,12.66,84.65,71.99
178,22.1,22.74,6.69,51.53,44.84
179,1.84,0.5,2.42,4.76,2.34
70,4.68,5.69,1.41,11.78,10.37
71,20.61,31.14,4.31,56.06,51.75
89,25.17,32.01,7.45,64.63,57.18
92,19.28,32.38,4.82,56.48,51.66
94,21.61,32.6,6.01,60.22,54.21
109,21.52,28.74,10.57,60.83,50.26
115,34.25,46.45,13.69,94.39,80.7
130,25.06,26.5,11.27,62.83,51.56
131,2.05,1.85,1.59,5.49,3.9
