plant,masschange_g,masschange_mg,initialmass,final mass,Meanbodymass_mg,time,foodinjested,foodinjested_mg_positive,frassmass_g,frassmass_mg,RGR,RC,RGRpositive,RGRlog
1,-0.5915,-591.5,5.1865,4.595,5040.75,1,-0.0201,20.1,0.2601,260.1,-0.056203606,0.003987502,0.943796394,-0.025121686
2,-0.1557,-155.7,4.615,4.4593,4537.15,1,-0.0525,52.5,0.1806,180.6,-0.033737811,0.01157114,0.966262189,-0.014905015
15,-0.1268,-126.8,4.8994,4.7726,4962.8,1,-0.206,206,0.1326,132.6,0.02588072,0.041508826,1.02588072,0.011096868
28,-0.377,-377,5.4638,5.0868,5275.3,1,-0.4225,422.5,0.3977,397.7,-0.068999597,0.080090232,0.931000403,-0.031050131
25,-0.4444,-444.4,5.4336,4.9892,5361.4,1,-0.183,183,0.2865,286.5,-0.026575383,0.034132876,0.973424617,-0.011697675
51,-0.4248,-424.8,5.2847,4.8599,5072.3,1,-0.4242,424.2,0.1645,164.5,-0.080382992,0.0836307,0.919617008,-0.036393005
55,-0.1796,-179.6,4.9268,4.7472,4837,1,-0.1817,181.7,0.2795,279.5,-0.036453682,0.037564606,0.963546318,-0.016127404
58,-0.197,-197,4.5971,4.3941,4695.6,1,-0.405,405,0.451,451,0.042853103,0.086250958,1.042853103,0.018223138
73,-0.1891,-189.1,5.059,4.8699,5014.45,1,-0.0668,66.8,0.0718,71.8,-0.017612176,0.013321501,0.982387824,-0.007717029
91,0.203,203,4.3815,4.5845,4483,1,-0.1645,164.5,0.2633,263.3,0.046331165,0.096694178,1.046331165,0.019669161
30,-0.3958,-395.8,5.1198,4.724,4921.9,1,-0.1576,157.6,0.1755,175.5,-0.077307707,0.032020155,0.922692293,-0.034943107
147,-0.1543,-154.3,5.3322,5.1779,5305.05,1,-0.0139,13.9,0.7224,722.4,-0.010183414,0.002620145,0.989816586,-0.004445273
189,0.1766,176.6,5.4251,5.6017,5513.4,1,-0.0627,62.7,0.0871,87.1,0.032552395,0.011372293,1.032552395,0.013912098
93,0.1447,144.7,5.7577,5.9024,5830.05,1,-1.6759,1675.9,0.3152,315.2,0.025131563,0.287458941,1.025131563,0.010779605
113,-0.1288,-128.8,5.1324,4.9036,5068,1,-0.2855,285.5,0.1905,190.5,-0.025095472,0.05633386,0.974904528,-0.011037912
124,-0.1427,-142.7,4.7478,4.6051,4676.45,1,-0.0793,79.3,0.0518,51.8,-0.030056026,0.026957307,0.969943974,-0.013253351
111,0.016,16,4.9749,4.9909,4982.9,1,-0.5543,554.3,0.029,29,0.003216145,0.111240442,1.003216145,0.001394513
42,0.0741,74.1,4.8785,4.9526,4915.55,1,-0.4556,455.6,1.1941,1194.1,0.015189095,0.092685457,1.015189095,0.006546944
34,-0.0103,-10.3,4.669,4.6587,4663.85,1,-0.5146,514.6,0.598,598,-0.00220604,0.110338025,0.99779396,-0.000959129
12,-0.4956,-495.6,5.1676,4.672,4719.8,1,-0.2771,277.1,0.5788,578.8,-0.173310628,0.058710115,0.826689372,-0.082657646
17,-0.3771,-377.1,4.8996,4.5225,4938.15,1,-0.9139,913.9,1.4066,1406.6,0.015735978,0.185069307,1.015735978,0.006780836
26,-0.2932,-293.2,5.0749,4.7817,4978.3,1,-0.1383,138.3,0.6547,654.7,-0.038069716,0.027780568,0.961930284,-0.016856402
33,-0.2453,-245.3,6.794,6.5487,6671.35,1,-0.0561,56.1,0.1613,161.3,-0.036105387,0.008409093,0.963894613,-0.015970447
37,0.1187,118.7,5.4034,5.5221,5462.75,1,-0.5562,556.2,0.3324,332.4,0.02196765,0.10181685,1.02196765,0.009437149
77,-0.2657,-265.7,5.2792,5.0135,5146.35,1,-0.0602,60.2,0.4086,408.6,-0.050329595,0.011697611,0.949670405,-0.022427096
56,-0.1507,-150.7,5.4107,5.26,5335.35,1,-0.0085,8.5,0.6639,663.9,-0.027852219,0.001593148,0.972147781,-0.012267711
67,-0.2505,-250.5,6.4985,6.248,6373.25,1,-0.7709,770.9,0.048,48,-0.038547357,0.120958695,0.961452643,-0.017072102
83,0.1281,128.1,4.8103,4.9384,4874.35,1,-1.1556,1155.6,0.4277,427.7,0.026630356,0.237077764,1.026630356,0.011414102
86,0.2385,238.5,5.377,5.6155,5496.25,1,-1.3738,1373.8,0.4734,473.4,0.044355589,0.24995224,1.044355589,0.018848395
151,-0.5889,-588.9,5.239,4.6501,5044.55,1,-0.0835,83.5,0.1961,196.1,-0.074231724,0.016552517,0.925768276,-0.033497706
154,0.1674,167.4,4.5771,4.7445,4660.8,1,-1.3477,1347.7,1.52,1520,0.036573376,0.259156368,1.036573376,0.01560005
171,-0.2501,-250.1,3.9991,3.749,3874.05,1,-0.0315,31.5,0.4361,436.1,-0.062539071,0.008131026,0.937460929,-0.028046824
183,-0.0522,-52.2,5.0258,4.9736,4999.7,1,-0.8417,841.7,0.5316,531.6,-0.010386406,0.168350101,0.989613594,-0.004534348
102,0.0523,52.3,5.4058,5.4581,5431.95,1,-0.1476,147.6,0.5483,548.3,0.009674794,0.067172562,1.009674794,0.004181514
105,0.2058,205.8,5.0307,5.2365,5133.6,1,-1.4067,1406.7,0.5994,599.4,0.04090882,0.274018233,1.04090882,0.017412688
122,0.12,120,5.1332,5.2532,5193.2,1,-0.3478,347.8,0.305,305,0.023377231,0.066972194,1.023377231,0.01003575
191,0.0282,28.2,4.9835,5.0117,4997.6,1,-0.9926,992.6,0.9778,977.8,0.005658674,0.198615335,1.005658674,0.002450604
18,-0.3388,-338.8,4.9492,4.6104,4779.8,1,-0.0611,61.1,0.0668,66.8,-0.068455508,0.012782962,0.931544492,-0.030796398
38,-0.0298,-29.8,4.884,4.8542,4869.1,1,-0.2525,252.5,0.2541,254.1,-0.006101556,0.051857633,0.993898444,-0.002657989
46,0.067,67,5.231,5.298,5264.5,1,-0.7582,758.2,0.174,174,0.012808258,0.144021275,1.012808258,0.005527234
156,-0.2482,-248.2,3.2794,3.0312,3255.3,1,-0.1659,165.9,0.2278,227.8,-0.014697811,0.050963045,0.985302189,-0.006430552
164,-0.6742,-674.2,4.712,4.0378,4024.9,1,-0.0118,11.8,0.1524,152.4,-0.29163837,0.00293175,0.70836163,-0.149744971
178,0.0209,20.9,4.5385,4.5594,4548.95,1,-0.9427,942.7,0.786,786,0.004605046,0.207234637,1.004605046,0.001995355
179,-0.5257,-525.7,3.9031,3.3774,3640.25,1,-0.0329,32.9,0.045,45,-0.134687812,0.009037841,0.865312188,-0.062827179
70,-0.693,-693,5.6656,4.9726,5319.1,1,-0.0648,64.8,0.1235,123.5,-0.122317142,0.012182512,0.877682858,-0.056662384
71,-0.0145,-14.5,5.055,5.0405,5047.75,1,-1.1929,1192.9,0.7854,785.4,-0.002868447,0.236323114,0.997131553,-0.001247541
89,0.198,198,5.2485,5.4465,5347.5,1,-0.7687,768.7,0.304,304,0.037725064,0.143749416,1.037725064,0.016082306
92,0.1898,189.8,5.5519,5.7417,5646.8,1,-0.9417,941.7,0.6217,621.7,0.034186495,0.166767018,1.034186495,0.014598862
94,0.2176,217.6,5.0595,5.2771,5168.3,1,-0.7252,725.2,0.4902,490.2,0.043008202,0.140316932,1.043008202,0.018287724
109,0.1684,168.4,3.7366,3.905,3820.8,1,-0.2047,204.7,0.089,89,0.045067709,0.053575168,1.045067709,0.019144429
115,-0.0516,-51.6,4.0226,3.971,3996.8,1,-0.0044,4.4,0.0603,60.3,-0.012827524,0.001100881,0.987172476,-0.005606962
130,0.5469,546.9,3.3498,3.8967,3623.25,1,-1.1441,1144.1,0.1817,181.7,0.163263478,0.315766232,1.163263478,0.065678093
131,0.1129,112.9,5.5572,5.6701,5613.65,1,-0.1694,169.4,0.3456,345.6,0.020315986,0.030176445,1.020315986,0.008734691
