plant,carbon,nitrogen,cnratio
91,47.259,1.8307,25.81471568
164,45.919,1.9432,23.6306093
42,46.789,0.79506,58.84964657
25,43.495,1.7147,25.36595323
109,47.964,2.0628,23.25189063
89,48.164,1.7759,27.12089645
2,46.013,0.84999,54.13357804
38,47.616,1.1474,41.49904131
1,45.816,1.3902,32.95640915
105,47.32,2.2568,20.96774194
94,47.703,1.8824,25.34158521
30,45.055,1.4825,30.39123103
26,45.06,1.0465,43.05781175
70,44.688,0.69313,64.47275403
56,46.861,1.5813,29.63447796
12,46.331,0.72957,63.50453007
73,47.51,1.2219,38.88206891
178,46.972,1.5189,30.92501152
115,45.857,1.9004,24.13018312
28,44.816,1.5826,28.31795779
183,44.527,1.754,25.38597491
156,47.323,1.1498,41.15759262
71,46.392,1.6638,27.88315903
13,45.126,1.4009,32.21214933
86,47.269,1.5594,30.3122996
77,46.593,1.5857,29.38323769
171,46.767,1.5438,30.29343179
189,47.049,1.4884,31.61045418
46,46.896,1.3314,35.22307346
67,46.129,1.7937,25.71723254
131,44.531,1.93,23.07305699
124,46.483,1.7127,27.14018801
83,47.502,1.3326,35.64610536
191,45.511,1.4943,30.45640099
92,47.858,1.4784,32.37148268
37,46.631,1.306,35.70520674
17,46.687,0.94911,49.19029406
93,47.401,1.6932,27.99492086
15,47.211,1.3085,36.08024455
147,44.109,1.4806,29.79130082
102,47.114,1.5735,29.94216714
154,47.096,1.6651,28.28418714
151,47.232,1.7157,27.52928834
122,46.185,1.5879,29.08558473
18,47.37,1.5315,30.93046033
58,47.853,1.3917,34.38456564
113,47.378,1.7335,27.33083357
130,48.526,1.9611,24.74427617
33,47.36,1.3013,36.39437486
51,47.496,1.4371,33.04989214
111,47.693,1.9282,24.73446738
179,47.856,1.4953,32.00428008
55,47.061,1.1435,41.15522519
34,46.837,0.97753,47.91361902
163,45.845,1.95478,23.45276706
