plant,Grub 1 (g),Grub 2 (g),Grub 3 (g),Total_after(g),Average_after (g),Total_before,Average_before,weight_change,,starting mass,ending mass,mass change,CO2treat,Silicon
1,5.0865,5.382,3.1635,14.132,4.544,11.6133,3.8711,0.6729,,3.452,3.634,0.182,400,Si-
2,4.615,4.1831,,8.7981,4.39905,12.2965,4.098833333,0.300216667,,2.875,2.762,-0.113,400,Si-
13,4.5327,,,4.5327,4.5327,5.8358,1.945266667,2.587433333,,4.759,4.903,0.144,400,Si-
15,4.9994,4.954,5.8774,15.8308,5.276933333,13.9284,4.6428,0.634133333,,4.553,4.861,0.308,400,Si-
28,5.1638,5.0744,,10.2382,5.1191,15.8449,5.281633333,-0.162533333,,5.084,5.103,0.019,400,Si+
25,4.4336,4.8079,2.0023,11.2438,3.747933333,10.6669,3.555633333,0.1923,,4.222,4.412,0.19,400,Si+
51,4.0847,2.5491,2.3666,9.0004,3.000133333,6.5976,2.1992,0.800933333,,5.001,5.217,0.216,400,Si+
55,4.5268,6.2358,4.7244,15.487,5.162333333,14.3594,4.786466667,0.375866667,,3.923,4.2,0.277,400,Si+
58,4.8971,4.5807,3.8542,13.332,4.444,10.5589,3.519633333,0.924366667,,4.716,4.902,0.186,640,Si-
73,4.059,3.13,3.253,10.442,3.480666667,8.0576,2.685866667,0.7948,,4.502,4.528,0.026,640,Si-
91,4.3815,5.9946,4.5201,14.8962,4.9654,11.5442,3.848066667,1.117333333,,4.899,5.013,0.114,640,Si-
42,4.8785,4.7365,5.3646,14.9796,4.9932,14.1883,4.729433333,0.263766667,,5.098,5.342,0.244,640,Si-
34,4.669,2.2927,5.3463,12.308,4.102666667,9.8574,3.2858,0.816866667,,5.875,5.861,-0.014,640,Si+
12,5.1676,4.8748,4.931,14.9734,4.991133333,13.7616,4.5872,0.403933333,,3.979,4.201,0.222,640,Si+
17,4.0996,4.2547,5.0785,13.4328,4.4776,13.2085,4.402833333,0.074766667,,4.128,4.294,0.166,640,Si+
26,5.0749,4.0847,4.0969,13.2565,4.418833333,12.188,4.062666667,0.356166667,,4.358,4.597,0.239,640,Si+
33,6.794,5.4349,2.9522,15.1811,5.060366667,11.1342,3.7114,1.348966667,,,,,,
37,4.4035,5.5436,5.4613,15.4084,5.136133333,13.8047,4.601566667,0.534566667,,,,,,
77,5.6792,6.3243,5.9233,17.9268,5.9756,17.8013,5.933766667,0.041833333,,,,,,
56,5.4107,1.9263,4.0594,11.3964,3.7988,10.7161,3.572033333,0.226766667,,,,,,
67,6.4985,5.3883,5.0899,16.9767,5.6589,15.1168,5.038933333,0.619966667,,,,,,
83,4.8103,3.6977,2.9146,11.4226,3.807533333,6.8179,2.272633333,1.5349,,,,,,
86,5.877,5.5361,5.5127,16.9258,5.641933333,13.8611,4.620366667,1.021566667,,,,,,
18,3.9492,2.9096,3.6017,10.4605,3.486833333,8.0298,2.6766,0.810233333,,,,,,
38,4.384,4.0374,3.7401,13.6615,4.053833333,10.8966,3.6322,0.421633333,,,,,,
46,5.231,4.5397,,9.7707,4.88535,7.0455,2.3485,2.53685,,,,,,
70,5.6656,4.2419,3.0982,13.0057,4.335233333,11.1266,3.708866667,0.626366667,,,,,,
71,5.055,3.2929,5.2923,13.6402,4.546733333,11.3968,3.798933333,0.7478,,,,,,
94,5.0595,5.4678,4.7536,15.2809,5.093633333,11.6617,3.887233333,1.2064,,,,,,
89,4.0489,4.5094,,8.5583,4.27915,11.4662,3.822066667,0.457083333,,,,,,
92,5.5519,5.8296,5.922,17.3035,5.767833333,15.9027,5.3009,0.466933333,,,,,,
