plant,C,N,CNratio
2,47.392,0.61931,76.52387334
122,47.386,0.58408,81.12929736
1,45.19,0.96628,46.76698266
33,44.381,0.63502,69.88913735
115,47.98,0.6537,73.39758299
164,47.513,0.71509,66.44338475
154,48.144,0.79434,60.60880731
183,48.785,0.78714,61.97753894
86,47.014,0.67348,69.80756667
12,46.936,0.82438,56.93490866
189,47.513,0.83446,56.93861899
28,48.089,0.7382,65.14359252
25,47.053,0.99133,47.46451737
67,46.271,0.77662,59.57997476
151,46.705,0.70092,66.63385265
91,47.116,0.71611,65.7943612
46,48.335,0.8043,60.09573542
113,47.629,0.70427,67.62889233
147,45.987,0.87766,52.39728369
37,48.23,0.75951,63.50146805
179,47.092,0.83483,56.40908928
105,47.718,0.7258,65.7453844
13,46.948,0.78042,60.15735117
55,47.429,0.79832,59.41101313
92,47.688,0.82188,58.02306906
73,46.713,0.74934,62.3388582
178,47.129,0.71279,66.1190533
171,46.334,0.78942,58.69372451
130,45.893,0.65903,69.63719406
94,46.761,0.87777,53.27249735
77,46.851,0.82202,56.99496363
83,48.84,0.74448,65.60283688
56,46.933,0.74827,62.72201211
93,48.931,0.62978,77.69538569
70,45.513,0.56682,80.29533185
26,46.867,0.81595,57.43856854
191,46.313,0.8925,51.89131653
58,47.879,0.641,74.69422777
156,46.86,0.88541,52.92463379
131,40.523,1.3226,30.63889309
15,45.806,1.503,30.47638057
38,45.661,0.86893,52.54853671
17,48.001,0.86921,55.22370889
124,48.97,0.62287,78.61993674
30,48.506,0.70486,68.81650257
71,48.953,0.61167,80.03171645
109,48.446,0.76015,63.73215813
89,48.382,0.74679,64.78662007
111,48.695,0.64216,75.83001121
18,46.391,0.62064,74.74703532
34,48.845,0.60532,80.69285667
51,47.234,0.65266,72.37152576
102,45.33,0.63978,70.85248054
