plant,CO2treat,Silicon,Canegrub
1,400,silicon+,Y
2,400,silicon+,Y
12,400,silicon0,N
13,400,silicon0,N
15,400,silicon0,N
17,400,silicon+,Y
18,400,silicon+,Y
19,400,silicon+,N
25,400,silicon+,Y
26,400,silicon+,Y
28,400,silicon+,Y
30,400,silicon+,Y
33,400,silicon0,Y
34,400,silicon0,Y
37,400,silicon0,Y
38,400,silicon0,Y
41,400,silicon0,N
42,400,silicon0,Y
46,400,silicon0,Y
51,640,silicon+,Y
54,640,silicon+,N
55,640,silicon+,Y
56,640,silicon+,Y
58,640,silicon0,Y
67,640,silicon+,Y
70,640,silicon+,Y
71,640,silicon+,Y
73,640,silicon+,Y
77,640,silicon+,Y
83,640,silicon0,Y
84,640,silicon0,N
86,640,silicon0,Y
89,640,silicon0,Y
91,640,silicon0,Y
92,640,silicon0,Y
93,640,silicon0,N
94,640,silicon0,Y
101,640,silicon+,N
102,640,silicon+,N
103,640,silicon+,N
105,640,silicon0,N
109,640,silicon0,N
111,640,silicon0,N
113,640,silicon+,N
115,640,silicon+,N
122,640,silicon+,N
124,640,silicon+,N
130,640,silicon0,N
131,640,silicon0,N
147,400,silicon+,N
151,400,silicon+,N
154,400,silicon0,N
156,400,silicon0,N
159,400,silicon0,N
163,400,silicon+,N
164,400,silicon+,N
171,400,silicon+,N
178,400,silicon0,N
179,400,silicon0,N
183,400,silicon0,N
189,400,silicon0,N
191,400,silicon0,N
